sample_size,num_bootstrap,noise_std,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,3.0,0.9694576816150614,0.8398475814482241,0.8720025180991459,1.1
100.0,500.0,3.0,1.0401893517884266,0.8081374055259887,0.8261379891039907,1.0
100.0,500.0,3.0,0.3806874669191279,0.0465653468330228,0.2214820638912812,1.0
100.0,500.0,3.0,1.3002373807436334,1.1956593560858952,1.2160857258599076,1.0
100.0,500.0,3.0,1.7655834007124285,1.6184792501952272,1.6863221454253583,1.1
100.0,500.0,3.0,1.3342272776053132,1.0605160255196675,1.0493864771892267,1.0
100.0,500.0,3.0,1.4827966086126023,1.1872212390198087,1.2835108714689183,1.0
100.0,500.0,3.0,1.1958130860924134,0.9967114827270404,0.9954736736436234,1.1
100.0,500.0,3.0,1.1963524595336792,0.7703719194218116,0.7943814389114441,1.0
100.0,500.0,3.0,1.0843717997512772,0.9369782976765249,0.9785416455225632,1.0
100.0,500.0,3.0,1.4448292841222437,1.436207423517926,1.4353672967903406,1.0
100.0,500.0,3.0,1.7041428181990756,1.3696703907293857,1.489106228098684,1.0
100.0,500.0,3.0,1.3593967733036334,1.2031267205211813,1.2721935144330203,1.0
100.0,500.0,3.0,0.8594946602209139,0.6096897003651426,0.7062620362505561,1.1
100.0,500.0,3.0,1.311380167957273,0.9649848065420006,1.0215491238005587,1.0
100.0,500.0,3.0,1.73962894870435,1.505931260293945,1.5905424741084695,1.0
100.0,500.0,3.0,1.131385495134504,0.8869282516169881,1.0005303441484272,1.1
100.0,500.0,3.0,1.4798021714564225,1.1361733795733802,1.1404017074990531,1.1
100.0,500.0,3.0,1.641566575542804,1.5417797914903686,1.5718415033501298,1.0
100.0,500.0,3.0,1.5700986091875244,1.3164861045420744,1.392778786390101,1.0
100.0,500.0,3.0,1.7626559134436353,1.4357151715577832,1.5783652565218984,1.1
100.0,500.0,3.0,1.5206674003788194,1.2025648239438114,1.2815263445180327,1.1
100.0,500.0,3.0,2.2665028935079965,2.170291336349301,2.1856538041401268,1.0
100.0,500.0,3.0,1.2837437582108422,0.996072504671478,1.0827875743854478,1.1
100.0,500.0,3.0,0.9608695573810352,0.7111553632950296,0.8074735586191911,1.0
100.0,500.0,3.0,1.3464854461623432,0.9627553852940988,0.8209199579069693,1.1
100.0,500.0,3.0,1.6411157007483193,1.6111213168167875,1.6142903157088817,1.1
100.0,500.0,3.0,2.0856085866766936,1.8095612002413028,1.934605018822989,1.1
100.0,500.0,3.0,1.4201459563300542,1.090824197032794,1.0664881246284308,1.0
100.0,500.0,3.0,0.5902846596954507,0.2648549379017486,0.3218045766016487,1.1
100.0,500.0,3.0,1.673821682247541,1.4329755181104853,1.5805604362254335,1.0
100.0,500.0,3.0,2.0468690254611768,1.7282388637395378,1.8747794455239613,1.0
100.0,500.0,3.0,1.5363469784873507,1.372879428737202,1.4385442551480037,1.1
100.0,500.0,3.0,1.1708678322632695,0.958058288906364,1.0539245752577413,1.0
100.0,500.0,3.0,1.719403993316103,1.4705392381477804,1.5880556252774012,1.0
100.0,500.0,3.0,1.8247298637473677,1.74556380147434,1.8140348594137856,1.0
100.0,500.0,3.0,0.9218310812876624,0.6014895528943871,0.7711726042195819,1.1
100.0,500.0,3.0,1.251062583434024,1.0341943489104162,1.1353234132806964,1.0
100.0,500.0,3.0,0.9830697785559958,0.6401165337164363,0.633464217208467,1.0
100.0,500.0,4.0,1.863310511020018,1.7640027109731626,1.8213322197078572,1.0
100.0,500.0,4.0,2.652486075553921,2.576237989485397,2.5845315162997453,1.0
100.0,500.0,4.0,2.3986013118080014,2.165383868810055,2.165123966454826,1.0
100.0,500.0,4.0,3.651705559843302,3.651705559843303,3.651705559843303,1.1
100.0,500.0,4.0,2.2670721865715446,2.241193173472377,2.2468030683343256,1.1
100.0,500.0,4.0,0.5043990515672447,0.1900522176633874,0.3686677612641384,1.1
100.0,500.0,4.0,1.7225593014523866,1.3556665020422396,1.536771479596713,1.0
100.0,500.0,4.0,1.252162884783672,0.768564087399674,1.0066249946021557,1.1
100.0,500.0,4.0,1.0562743474937517,0.8157587178002705,0.9877924508191672,1.1
100.0,500.0,4.0,1.314529124393839,1.0403574092504828,1.1500707621205777,1.1
100.0,500.0,4.0,1.3955271021966664,0.9898252168915638,1.101061177231858,1.1
100.0,500.0,4.0,0.9259435754867484,0.7420211391384675,0.7960033574655279,1.1
100.0,500.0,4.0,1.0535858023845686,0.7485157621791142,0.7841335784528828,1.0
100.0,500.0,4.0,0.1742499558921706,-0.2696031093909744,-0.0361778110402228,1.0
100.0,500.0,4.0,1.4003165076581778,1.265725745326117,1.2881143011465437,1.0
100.0,500.0,4.0,1.9874445342832376,1.786273199789245,1.874621752753153,1.1
100.0,500.0,4.0,1.4456363701404178,1.0825619908802024,1.0781164049935057,1.0
100.0,500.0,4.0,1.6437288114834694,1.255321272489562,1.3949558543707692,1.0
100.0,500.0,4.0,1.2277507814565518,0.940449384363889,0.952103630246976,1.1
100.0,500.0,4.0,1.2618032793782388,0.695196805415903,0.7325432477951715,1.0
100.0,500.0,4.0,1.112495733001703,0.918657185174612,0.9778155081513772,1.0
100.0,500.0,4.0,1.5931057121629912,1.5816098980239008,1.5834034043480891,1.0
100.0,500.0,4.0,1.938857090932101,1.4937796872410245,1.6515135779562142,1.0
100.0,500.0,4.0,1.4791956977381782,1.2749555272151296,1.3694520292590928,1.0
100.0,500.0,4.0,0.7793262136278851,0.4422734644081742,0.5731978797874808,1.1
