sample_size,num_bootstrap,noise_std,te_diff,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,0.5,0.2,7.766109100281151,7.224369842990918,7.284940958889215,6.2
100.0,500.0,0.5,0.2,7.67852677309087,7.340533505763748,7.247655154801449,8.0
100.0,500.0,0.5,0.2,8.912074078605002,8.904815682431256,8.899910753466873,8.0
100.0,500.0,0.5,0.2,7.473494562522518,7.266860936966947,7.417950548136084,8.0
100.0,500.0,0.5,0.2,6.658889326628187,6.171040511354678,6.371282946279867,8.0
100.0,500.0,0.5,0.2,7.90709487735522,7.403999916681892,7.347361469564408,7.200000000000001
100.0,500.0,0.5,0.2,7.722281691512939,7.621815444792803,7.659427091941178,8.0
100.0,500.0,0.5,0.2,7.346905817953203,7.0934704229428895,7.24140215324849,7.200000000000001
100.0,500.0,0.5,0.2,7.916360699432941,7.620914956742423,7.71833301859824,8.0
100.0,500.0,0.5,0.2,8.321583722042412,8.23481315490019,8.282562903562937,8.0
100.0,500.0,0.5,0.2,8.956414623263015,8.89918219963554,8.975442052692745,8.0
100.0,500.0,0.5,0.2,8.61480953704371,8.389176146001084,8.42839512038191,8.0
100.0,500.0,0.5,0.2,7.846273871019801,7.60454530688962,7.763939141873123,8.0
100.0,500.0,0.5,0.2,7.856940755546425,7.4272943363276775,7.3952191065362225,8.0
100.0,500.0,0.5,0.2,8.181387747622757,7.917019333282268,8.11476746996217,7.200000000000001
100.0,500.0,0.5,0.2,8.57729638110763,8.323955295450205,8.33997609048523,8.0
100.0,500.0,0.5,0.2,7.680227976019504,7.180167419834039,7.099094711147815,6.4
100.0,500.0,0.5,0.2,8.462416267217089,8.274010026752673,8.41231075154388,8.0
100.0,500.0,0.5,0.2,7.8257607677922945,7.595780285761101,7.695829433714853,8.0
100.0,500.0,0.5,0.2,7.799895548405524,7.261615377670521,7.464450087113938,7.200000000000001
100.0,500.0,0.5,0.2,8.162708456118715,7.959345982269969,8.072029547794536,7.200000000000001
100.0,500.0,0.5,0.2,8.674674508658937,8.39370502700803,8.423505925032947,8.0
100.0,500.0,0.5,0.2,7.62449877502279,7.199783776659941,7.415592166926048,7.200000000000001
100.0,500.0,0.5,0.2,7.823119381191386,7.643719297530886,7.714114538514689,8.0
100.0,500.0,0.5,0.2,8.571916679482023,8.449078591651723,8.485402968843093,8.0
100.0,500.0,0.5,0.2,7.819108454814079,7.34463016715857,7.380691523957444,8.0
100.0,500.0,0.5,0.2,8.86279827997977,8.81880389188346,8.81421951311751,8.0
100.0,500.0,0.5,0.2,7.265126428538258,7.017414572636685,7.079315948404442,8.0
100.0,500.0,0.5,0.2,7.675726103224827,7.248398254600535,7.297636546103121,8.0
100.0,500.0,0.5,0.2,7.302598314393489,7.015777148031112,7.271632347403418,8.0
100.0,500.0,0.5,0.2,7.848676667225327,7.604549839486784,7.798631966639601,8.0
100.0,500.0,0.5,0.2,7.993154866357659,7.625170426653952,7.592533231308965,8.0
100.0,500.0,0.5,0.2,7.779063676270011,7.580201858579179,7.656172923528358,8.0
100.0,500.0,0.5,0.25,8.168101271627572,7.729706384904665,7.93840352040512,8.75
100.0,500.0,0.5,0.25,8.922455880511647,8.692610560094087,8.735619158823477,8.75
100.0,500.0,0.5,0.25,9.00945018534568,8.838870580321421,8.874329047389772,8.75
100.0,500.0,0.5,0.25,9.936288109783705,9.603847959691096,9.598795187449333,8.75
100.0,500.0,0.5,0.25,9.668359174507525,9.575673509401225,9.595220023409096,8.75
100.0,500.0,0.5,0.25,8.167384642422919,8.048345519024524,8.060999089436264,8.75
100.0,500.0,0.5,0.25,9.703683591605097,9.608916940163164,9.716198661328562,8.75
100.0,500.0,0.5,0.25,8.762915467266644,8.650257594604822,8.709472982714924,8.75
100.0,500.0,0.5,0.25,8.41200354077242,8.030925355360166,8.129690915396248,8.75
100.0,500.0,0.5,0.25,9.185872226949545,9.156595852531256,9.147714464011127,8.75
100.0,500.0,0.5,0.25,9.304170370235399,9.267547956963387,9.277344991171384,8.75
100.0,500.0,0.5,0.25,8.961673914816409,8.94103677527503,8.94548598287814,8.75
100.0,500.0,0.5,0.25,7.751917705080053,7.260871076951156,7.295546693809432,8.75
100.0,500.0,0.5,0.25,8.916842043741436,8.88863753003041,8.897189179964785,8.75
100.0,500.0,0.5,0.25,7.736501122090567,7.2319216431143385,7.358373463408496,6.5
100.0,500.0,0.5,0.25,9.008960072382852,8.732064925556447,8.68842058697225,8.75
100.0,500.0,0.5,0.25,8.513369134552427,8.363984884447271,8.38274910104307,8.75
100.0,500.0,0.5,0.25,8.272626087986096,7.732616958568427,7.66021984037729,8.75
100.0,500.0,0.5,0.25,8.42852677309087,8.128768637173291,8.080024502777178,8.75
100.0,500.0,0.5,0.25,9.662074078605002,9.662074078605002,9.650985662599616,8.75
100.0,500.0,0.5,0.25,8.223494562522518,8.144457388483186,8.207844327435737,8.75
100.0,500.0,0.5,0.25,7.408889326628186,7.070085301795691,7.239675235276843,8.75
