sample_size,num_bootstrap,plugin,act_plugin,corr,adj_corr
100,1000,6.335268952973312,5.0,5.005663678378475,4.769500330532081
100,1000,6.249236320014336,5.800000000000001,5.448024623532325,5.857775781640823
100,1000,7.108340740470796,6.0,6.555976114400543,6.844948079873993
100,1000,6.057120203057304,5.9,5.579942475117859,5.750980788498482
100,1000,6.32873018092459,5.2,5.70639981296488,5.930042522897498
100,1000,6.333684087482872,6.0,5.692758021766427,5.702172297589537
100,1000,7.573002244181135,5.1,6.9900175381977725,7.247194170303992
100,1000,6.726513778899468,5.8,5.960125460463114,6.603804763851238
100,1000,6.2673509199499495,4.5,5.531223762844768,5.360096018580574
100,1000,8.232218200562304,5.1,7.612711446608096,7.652562839872338
100,1000,6.408814412083715,5.5,5.65409709107609,5.981046029423856
100,1000,7.291631617159048,5.6000000000000005,6.592864068275302,7.196702018693176
100,1000,5.6211602397497265,4.5,4.502481877250979,4.41363981240497
100,1000,5.481079022830273,4.5,4.449110589523944,4.731610060997596
100,1000,7.249142839216427,5.4,5.891919510479316,6.1052671358392505
100,1000,6.714862745142238,4.8,6.265310056796009,6.4655760494187025
100,1000,6.234649668074891,5.5,5.618005357195429,6.029840483525034
100,1000,5.766185218342543,5.4,4.335081445285414,5.128049126937797
100,1000,6.643167444084823,6.0,5.677747511501526,6.129203334412242
100,1000,7.912829246526036,6.0,7.456630128345478,7.840283902018151
100,1000,7.229619074087418,6.0,6.1542071793144295,6.064502339442599
100,1000,5.997477503966781,5.0,4.890512595141745,5.488582996077226
100,1000,6.701718024773438,5.4,5.7823710735282345,6.125879700580141
100,1000,6.847388571912681,5.2,5.835094893897602,6.350225846707454
100,1000,7.154592762215262,6.0,6.0837865677567216,5.8682640618365385
100,1000,8.424656814158116,5.0,7.936604601564763,7.898320742681803
100,1000,6.924832534434172,6.0,5.944992589616284,6.614158085100814
100,1000,6.359419238009916,5.0,5.501369855291346,5.540249861985304
100,1000,6.799791096811047,5.6,5.619349297625019,5.714299901061569
100,1000,8.161098801386654,5.5,7.978702271241584,8.05957393065779
100,1000,7.347126337476743,5.9,6.386732020486922,6.3385093168070865
100,1000,6.7760377355955494,5.5,5.863853113580567,6.1438879486641
100,1000,5.646238762382769,6.0,4.552088096302132,5.138360512779267
100,1000,8.146207413650771,4.5,7.8417545646809765,7.716768781621664
100,1000,7.006498953966979,5.5,5.641749793204217,5.7246000043885825
100,1000,7.266189985466513,5.9,6.650009440700787,6.901876351691433
100,1000,5.755844977584979,4.7,4.877023906242221,5.344968867276298
100,1000,6.008261302062763,4.6,4.6122576817806635,4.763574035667844
100,1000,6.2041822660675825,5.0,5.32679013641494,5.630092741132207
100,1000,5.501405578145196,5.8,3.8207384200345933,5.1743530901458366
100,1000,5.862783258753835,5.6,4.593371431899452,4.584795414167386
100,1000,6.1231309424527725,5.0,5.033047021162474,5.026391364235137
100,2000,7.140282154226295,5.1,6.002492348984717,6.3809211827064
100,2000,7.88028050721312,5.0,7.1027868510357735,7.010842415240061
100,2000,7.013814622740871,4.5,5.68417753471489,5.57525457017952
100,2000,9.05730702841065,5.5,8.641535685724849,8.489817308491501
100,2000,7.836718349015047,6.0,7.168163824099826,7.112282544123762
100,2000,5.273319773983033,5.5,4.476251379176535,4.965935425725737
100,2000,7.907367183210189,6.0,6.97082953384584,7.035950052205906
100,2000,6.025830934533285,6.0,4.601189433968565,5.2387300127366085
100,2000,6.335268952973312,5.0,5.001256020680817,4.685477344518386
100,2000,6.249236320014336,5.800000000000001,5.4600155094701,5.879782599726711
100,2000,7.108340740470796,6.0,6.57812825896722,6.8132918691439235
100,2000,6.057120203057304,5.9,5.572698679224354,5.702064243382441
100,2000,6.32873018092459,5.2,5.729416321179252,6.039492679755142
100,2000,6.333684087482872,6.0,5.682105844624485,5.602143777495904
100,2000,7.573002244181135,5.1,7.0091788395539245,7.200170059306952
100,2000,6.726513778899468,5.8,5.9563937883938625,6.629249677933771
100,2000,6.2673509199499495,4.5,5.5205219483428785,5.31331975085603
